Scope1,Absolute Time
-1.000000,3568277516.061457
-1.000000,3568277516.071458
-1.000000,3568277516.081457
-0.969115,3568277516.091454
-0.969115,3568277516.101459
-0.855708,3568277516.111458
-0.855708,3568277516.121460
-0.742302,3568277516.131459
-0.680441,3568277516.141459
-0.680441,3568277516.151458
-0.628895,3568277516.161459
-0.597980,3568277516.171460
-0.556719,3568277516.181461
-0.494888,3568277516.191457
-0.494888,3568277516.201460
-0.412397,3568277516.211460
-0.319620,3568277516.221462
-0.226814,3568277516.231462
-0.226814,3568277516.241462
-0.103122,3568277516.251462
-0.010315,3568277516.261462
0.000000,3568277516.271462
0.010285,3568277516.281462
0.123692,3568277516.291460
0.298959,3568277516.301466
0.298959,3568277516.311464
0.484542,3568277516.321464
0.680410,3568277516.331464
0.907224,3568277516.341465
0.907224,3568277516.351466
1.000000,3568277516.361466
1.000000,3568277516.371466
1.000000,3568277516.381465
1.000000,3568277516.391463
1.000000,3568277516.401467
1.000000,3568277516.411467
1.000000,3568277516.421469
1.000000,3568277516.431465
1.000000,3568277516.441467
1.000000,3568277516.451468
1.000000,3568277516.461468
1.000000,3568277516.471468
1.000000,3568277516.481470
1.000000,3568277516.491466
1.000000,3568277516.501468
1.000000,3568277516.511468
1.000000,3568277516.521470
0.845363,3568277516.531469
0.608264,3568277516.541471
0.494858,3568277516.551470
0.391736,3568277516.561471
0.319590,3568277516.571471
0.319590,3568277516.581471
0.309275,3568277516.591470
0.309275,3568277516.601473
0.309275,3568277516.611472
0.309275,3568277516.621472
0.309275,3568277516.631473
0.309275,3568277516.641473
0.309275,3568277516.651473
0.298959,3568277516.661475
0.298959,3568277516.671474
0.247414,3568277516.681473
0.195868,3568277516.691472
0.092776,3568277516.701475
0.092776,3568277516.711475
0.000000,3568277516.721477
-0.020631,3568277516.731475
-0.020631,3568277516.741476
-0.175268,3568277516.751475
-0.309305,3568277516.761476
-0.433027,3568277516.771476
-0.433027,3568277516.781478
-0.536119,3568277516.791474
-0.649525,3568277516.801477
